Date,Title,Price,Star,Reviews,Brand,CPU,CPU_Segment,CPU_Segment_Detail,GPU,RAM,SSD,Screen_inch,Panel,OLED,Screen_HZ,Color,Link
20251113,"Lenovo - LOQ 15.6"" Full HD Gaming Laptop - Intel Core i7-13650HX - 16GB Memory - NVIDIA GeForce RTX 5060 - 512GB SSD - Luna Grey",1099.99,4.9,15,Lenovo,Intel Core i7-13650HX,Core i7,Core i7 13650HX,RTX 5060,16,512GB,15.6,FULLHD,,,Luna Grey,https://www.bestbuy.com/product/lenovo-loq-15-6-full-hd-gaming-laptop-intel-core-i7-13650hx-16gb-memory-nvidia-geforce-rtx-5060-512gb-ssd-luna-grey/JJGSH8FS5K
20251113,"ASUS - ROG Strix G18 18"" 2.5K 240Hz Gaming Laptop - Intel Core Ultra 9 HX - 32GB RAM - NVIDIA GeForce RTX 5080 - 2TB SSD - Eclipse Gray",3059.99,4.6,163,ASUS,Intel Core Ultra 9,Core Ultra 9,Core Ultra 9,RTX 5080,32,2TB,18,2.5K,,240,Eclipse Gray,https://www.bestbuy.com/product/asus-rog-strix-g18-18-2-5k-240hz-gaming-laptop-intel-core-ultra-9-hx-32gb-ram-nvidia-geforce-rtx-5080-2tb-ssd-eclipse-gray/JJGGLHXFW8/sku/6613958
20251113,"Lenovo - LOQ 15.6"" Full HD Gaming Laptop - Intel Core i5-13450HX - 16GB Memory - NVIDIA GeForce RTX 5050 - 512GB SSD - Luna Grey",1099.99,4.8,70,Lenovo,Intel Core i5-13450HX,Core i5,Core i5 13450HX,RTX 5050,16,512GB,15.6,FULLHD,,,Luna Grey,https://www.bestbuy.com/product/lenovo-loq-15-6-full-hd-gaming-laptop-intel-core-i5-13450hx-16gb-memory-nvidia-geforce-rtx-5050-512gb-ssd-luna-grey/JJGSH8FS59
20251113,"HP - Victus 15.6"" 144Hz Full HD Gaming Laptop - Intel Core i7-13620H - 16GB DDR5 Memory - NVIDIA GeForce RTX 5060 - 1TB SSD - Mica Silver",1369.99,4.6,93,HP,Intel Core i7-13620H,Core i7,Core i7 13620H,RTX 5060,16,1TB,15.6,FULLHD,,144,Mica Silver,https://www.bestbuy.com/product/hp-victus-15-6-144hz-full-hd-gaming-laptop-intel-core-i7-13620h-16gb-ddr5-memory-nvidia-geforce-rtx-5060-1tb-ssd-mica-silver/JJGQJHX3J7
20251113,"Lenovo - LOQ 15.6"" Full HD Gaming Laptop - Intel Core i5-13450HX - 16GB Memory - NVIDIA GeForce RTX 5050 - 512GB SSD - Luna Grey",1099.99,4.8,70,Lenovo,Intel Core i5-13450HX,Core i5,Core i5 13450HX,RTX 5050,16,512GB,15.6,FULLHD,,,Luna Grey,https://www.bestbuy.com/product/lenovo-loq-15-6-full-hd-gaming-laptop-intel-core-i5-13450hx-16gb-memory-nvidia-geforce-rtx-5050-512gb-ssd-luna-grey/JJGSH8FS59
20251113,"Alienware - 16X Aurora - 16"" 2.5K Gaming Laptop - Intel Core Ultra 9 275HX - 32GB Memory - NVIDIA GeForce RTX 5070 - 2TB Storage - Interstellar Indigo",2099.99,4.8,61,Dell,Intel Core Ultra 9 275HX,Core Ultra 9,Core Ultra 9 275HX,RTX 5070,32,2TB,16,2.5K,,,Interstellar Indigo,https://www.bestbuy.com/product/alienware-16x-aurora-16-2-5k-gaming-laptop-intel-core-ultra-9-275hx-32gb-memory-nvidia-geforce-rtx-5070-2tb-storage-interstellar-indigo/J3K4L6J6FG
20251113,"ASUS - ROG Strix G16 16"" FHD 165Hz Gaming Laptop - AMD Ryzen 9 HX - 16GB RAM - NVIDIA GeForce RTX 5070 Ti - 1TB SSD - Eclipse Gray",1939,4.5,248,ASUS,AMD Ryzen 9,Ryzen 9,Ryzen 9,RTX 5070 Ti,16,1TB,16,FHD,,165,Eclipse Gray,https://www.bestbuy.com/product/asus-rog-strix-g16-16-fhd-165hz-gaming-laptop-amd-ryzen-9-hx-16gb-ram-nvidia-geforce-rtx-5070-ti-1tb-ssd-eclipse-gray/JJGGLHJLTS
20251113,"HP OMEN - 16"" 2K 144Hz Gaming Laptop - AMD Ryzen 9 8940HX - 32GB DDR5 Memory - NVIDIA GeForce RTX 5060 - 1TB SSD - Shadow Black",1149.99,4.5,210,HP,AMD Ryzen 9 8940HX,Ryzen 9,Ryzen 9 8940HX,RTX 5060,32,1TB,16,2K,,144,Shadow Black,https://www.bestbuy.com/product/hp-omen-16-2k-144hz-gaming-laptop-amd-ryzen-9-8940hx-32gb-ddr5-memory-nvidia-geforce-rtx-5060-1tb-ssd-shadow-black/JJGH2L954G/sku/6626057
20251113,"ASUS - ROG Zephyrus G16 16"" OLED 2.5K 240Hz Gaming Laptop - Intel Core Ultra 9 - 32GB RAM - NVIDIA GeForce RTX 5080 - 2TB SSD - Eclipse Gray",3399.99,4.4,89,ASUS,Intel Core Ultra 9,Core Ultra 9,Core Ultra 9,RTX 5080,32,2TB,16,2.5K,OLED,240,Eclipse Gray,https://www.bestbuy.com/product/asus-rog-zephyrus-g16-16-oled-2-5k-240hz-gaming-laptop-intel-core-ultra-9-32gb-ram-nvidia-geforce-rtx-5080-2tb-ssd-eclipse-gray/JJGGLHJLTW
20251113,"NIMO - 17.3"" IPS FHD-Gaming-Laptop, 8 Cores AMD Ryzen 7 6800H 64GB DDR5 RAM 1TB SSD 4.7GHz Fingerprint 100W - Black",999,5,1,NIMO,AMD Ryzen 7 6800H,Ryzen 7,Ryzen 7 6800H,,64,1TB,17.3,FHD,,,Black,https://www.bestbuy.com/product/nimo-17-3-ips-fhd-gaming-laptop-8-cores-amd-ryzen-7-6800h-64gb-ddr5-ram-1tb-ssd-4-7ghz-fingerprint-100w-black/JJGHQYHK9R
20251113,"Lenovo - Legion Pro 7i 16"" 2.5K OLED Gaming Laptop - Intel Core Ultra 9 275HX - 32GB Memory - NVIDIA GeForce RTX 5080 - 1TB SSD - Eclipse Black",2969.99,4.3,32,Lenovo,Intel Core Ultra 9 275HX,Core Ultra 9,Core Ultra 9 275HX,RTX 5080,32,1TB,16,2.5K,OLED,,Eclipse Black,https://www.bestbuy.com/product/lenovo-legion-pro-7i-16-2-5k-oled-gaming-laptop-intel-core-ultra-9-275hx-32gb-memory-nvidia-geforce-rtx-5080-1tb-ssd-eclipse-black/JJGSH3LVW3
20251113,"MSI - Vector 16 HX AI 16"" 144Hz FHD+ Gaming Laptop - Intel Ultra 7-255HX - GeForce RTX 5070Ti - 16GB Memory - 1TBSSD - Cosmo Gray",1499.99,4.4,24,MSI,Intel Ultra 7-255HX,Core Ultra 7,Core Ultra 7 255HX,RTX 5070 Ti,16,1TB,16,FHD,,144,Cosmo Gray,https://www.bestbuy.com/product/msi-vector-16-hx-ai-16-144hz-fhd-gaming-laptop-intel-ultra-7-255hx-geforce-rtx-5070ti-16gb-memory-1tbssd-cosmo-gray/J3P7TXRLGZ
20251113,"ASUS - TUF Gaming F16 16"" FHD+ 165Hz Gaming Laptop - Intel Core i7-14650HX - 32GB RAM - NVIDIA GeForce RTX 5060 - 1TB SSD - Jaeger Gray",1539.99,4.7,341,ASUS,Intel Core i7-14650HX,Core i7,Core i7 14650HX,RTX 5060,32,1TB,16,FHD,,165,Jaeger Gray,https://www.bestbuy.com/product/asus-tuf-gaming-f16-16-fhd-165hz-gaming-laptop-intel-core-i7-14650hx-32gb-ram-nvidia-geforce-rtx-5060-1tb-ssd-jaeger-gray/JJGGLH8LZ5/sku/6629421
20251113,"Lenovo - Legion 7i 16"" 2.5k OLED Gaming Laptop - Intel Core Ultra 9 275HX - 32GB Memory - NVIDIA GeForce RTX 5070 - 1TB SSD - Glacier White",1749.99,4.7,111,Lenovo,Intel Core Ultra 9 275HX,Core Ultra 9,Core Ultra 9 275HX,RTX 5070,32,1TB,16,2.5K,OLED,,Glacier White,https://www.bestbuy.com/product/lenovo-legion-7i-16-2-5k-oled-gaming-laptop-intel-core-ultra-9-275hx-32gb-memory-nvidia-geforce-rtx-5070-1tb-ssd-glacier-white/JJGSH3Y5H9/sku/6617095
